=========================================================================================================
 DIRECTIVE X1 -- REPOSITORY SCRIPT EXECUTION & STDOUT LOG STATUS TABLE
=========================================================================================================
  Script Name                            | Stdout Present | Log Bytes  | Last Commit SHA
  ---------------------------------------|----------------|------------|----------------
  audit_dataset_integrity.py             | YES            | 33968      | 64bd022
  audit_embedding_leakage.py             | YES            | 3392       | 56967bc
  audit_fact_map_and_c_q_bug.py          | NO             | 0          | N/A
  audit_file_to_section_mapping.py       | NO             | 0          | N/A
  audit_generator_defects_and_leakage.py | YES            | 900        | f1eb640
  audit_pca_grid_and_lasttok.py          | YES            | 5134       | 10a7318
  audit_representation_ablation.py       | YES            | 5105       | 1e72a07
  audit_smollm2_failures.py              | NO             | 0          | N/A
  audit_task_cardinality.py              | NO             | 0          | N/A
  evaluate_disjoint_template_split_l5_l6.py | YES            | 6365       | b880712
  evaluate_expanded_offline_bound.py     | YES            | 3161       | e8ca39c
  evaluate_m_phase_comprehensive.py      | YES            | 11191      | f1eb640
  run_adapter_continual_benchmarks.py    | NO             | 0          | N/A
  run_base_rate_enrichment_test.py       | NO             | 0          | N/A
  run_confusable_split_experiment.py     | NO             | 0          | N/A
  run_continual_learning_validation.py   | NO             | 0          | N/A
  run_control_battery.py                 | NO             | 0          | N/A
  run_corrected_stage1_probe.py          | NO             | 0          | N/A
  run_d2_coverage_evaluation.py          | NO             | 0          | N/A
  run_decisive_controls.py               | NO             | 0          | N/A
  run_decoder_integration_validation.py  | NO             | 0          | N/A
  run_english_fluency.py                 | NO             | 0          | N/A
  run_gate1_diagnostic.py                | YES            | 4282       | 384af03
  run_gate1_diagnostic_corrected.py      | YES            | 3431       | 8cefac3
  run_gate1_diagnostic_k3_k5.py          | YES            | 3936       | b880712
  run_gate2_redecision_expanded.py       | YES            | 3611       | fc0f862
  run_graded_ceiling_reanalysis.py       | NO             | 0          | N/A
  run_graded_ceiling_test.py             | NO             | 0          | N/A
  run_horizon_a_l0_l1.py                 | NO             | 0          | N/A
  run_input_recovery_probe.py            | NO             | 0          | N/A
  run_joint_offline_probe.py             | YES            | 4806       | a6f9a31
  run_k4_k5_k6_offline_bound_search.py   | YES            | 10357      | b880712
  run_lambda_diagnostic_and_downward_sweep.py | NO             | 0          | N/A
  run_learned_attention_probe.py         | NO             | 0          | N/A
  run_mechanism_evaluation_suite.py      | NO             | 0          | N/A
