literal	document	document_line_number	log_file	log_line_number	matched_text
34.80	walkthrough.md	130	run_gate1_diagnostic_stdout.txt	41	iggered because J = 34.80% < 40.00%)
1.66	walkthrough.md	130	run_gate1_diagnostic_stdout.txt	48	: 34.80% +/- 1.66%
34.80	walkthrough.md	131	run_gate1_diagnostic_stdout.txt	41	iggered because J = 34.80% < 40.00%)
40.00	walkthrough.md	131	audit_pca_grid_and_lasttok_stdout.txt	65	|  42.33%      |  40.00%
89.71	walkthrough.md	147	run_o5_rescore_p21_p11_p13_p14_stdout.txt	6	mean-across-folds): 89.71% via ('MultinomialL
82.20	walkthrough.md	149	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
82.20	walkthrough.md	150	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
27.33	walkthrough.md	170	audit_embedding_leakage_stdout.txt	57	Top-1 Accuracy    : 27.33% (0.2733)
7.67	walkthrough.md	170	audit_pca_grid_and_lasttok_stdout.txt	77	|   7.67%    |   8.67%    |
27.33	walkthrough.md	171	audit_embedding_leakage_stdout.txt	57	Top-1 Accuracy    : 27.33% (0.2733)
28.00	walkthrough.md	171	audit_pca_grid_and_lasttok_stdout.txt	49	|  33.33%      |  28.00%
7.67	walkthrough.md	171	audit_pca_grid_and_lasttok_stdout.txt	77	|   7.67%    |   8.67%    |
10.67	walkthrough.md	171	audit_pca_grid_and_lasttok_stdout.txt	78	|  10.67%    |  10.67%    |
40.33	walkthrough.md	172	audit_pca_grid_and_lasttok_stdout.txt	62	|  42.33%      |  40.33%
34.80	walkthrough.md	172	run_gate1_diagnostic_stdout.txt	41	iggered because J = 34.80% < 40.00%)
34.80	walkthrough.md	172	run_gate1_diagnostic_stdout.txt	41	iggered because J = 34.80% < 40.00%)
40.33	walkthrough.md	172	audit_pca_grid_and_lasttok_stdout.txt	62	|  42.33%      |  40.33%
34.80	walkthrough.md	173	run_gate1_diagnostic_stdout.txt	41	iggered because J = 34.80% < 40.00%)
47.60	walkthrough.md	174	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
10.24	walkthrough.md	174	build_report_tables_stdout.txt	13	% $\pm$ 1.99%** | **10.24% $\pm$ 0.30%** | **
79.80	walkthrough.md	174	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
85.80	walkthrough.md	174	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
85.80	walkthrough.md	174	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
